ts_utc,btc_price,bull_score,phase_label,ret_7d,ret_30d,ema20,ema50,ema200,ema20_gt_ema50,ema50_gt_ema200,price_gt_ema200,fr_current,fr_state,cb_premium,cb_state,oi_change_24h,vol_ratio,drawdown_90d
2026-07-11T20:08:43.317003+00:00,64307.4,-7,強弱気,0.01575101642389387,0.011151258997896152,63018.259177609805,65319.77836614715,74480.5416467216,False,False,False,0.004156,hot,-0.0008897887334894765,cold,-0.0063110045422968275,0.48665532104121,-0.21735638073238728
2026-07-11T21:05:30.416760+00:00,64418.2,-7,強弱気,0.019328540889002044,0.012893446669874242,63028.811558562185,65324.12346418637,74481.6441342838,False,False,False,0.004156,hot,-0.0005479817815461413,cold,-0.0058775899740116655,0.45860364711348633,-0.21600790585990215
2026-07-11T22:07:07.274640+00:00,64335.8,-7,強弱気,0.018796873416438542,0.01159781251670644,63020.963939514564,65320.892091637346,74480.82423378628,False,False,False,0.004156,hot,-0.0006891963727816206,cold,-0.017226305366264127,0.4634859536237416,-0.2170107427686817
2026-07-11T23:10:08.154110+00:00,64141.3,-7,強弱気,0.019122053837280717,0.008539549861474205,63002.440129990755,65313.264640656955,74478.8889104032,False,False,False,0.004156,hot,-0.0008080597056810782,cold,-0.019414890669155027,0.4611269518419879,-0.21937787600603154
2026-07-12T00:10:22.987791+00:00,63791.9,-7,強弱気,0.014400592815923208,0.0035932571365642207,63043.14750367436,65266.49543863034,74318.89295162917,False,False,False,0.004651,hot,-0.0005278099570634869,cold,-0.029282779117010493,0.4728486828921058,-0.2236301965876769
2026-07-12T14:13:59.465114+00:00,64010.3,-7,強弱気,0.020232416175094636,0.007029191281159752,63063.94750367435,65275.060144512696,74321.06608595753,False,False,False,0.006315,hot,-0.0010374892790692043,cold,-0.03262804922169693,0.574270219435288,-0.22097219196537765
2026-07-13T01:14:03.743898+00:00,63874.8,-7,強弱気,0.006517368092629816,-0.008681724922478984,63107.79681353273,65235.281328496916,74155.12981181766,False,False,False,0.001521,hot,-0.0007641511206298093,cold,-0.016684852353481383,0.49010557881010347,-0.22262127450348002
2026-07-13T22:02:09.677229+00:00,62148.1,-7,強弱気,-0.029527319289807785,-0.03547960555108931,62943.34919448511,65167.56760300672,74137.9487172903,False,False,False,0.01,hot,-0.0010238446549451614,cold,0.03398314002375491,1.7151498502723812,-0.24363581928976263
2026-07-13T23:12:20.319996+00:00,62051.2,-7,強弱気,-0.03345083311655839,-0.03698346530258778,62934.12062305654,65163.767603006716,74136.98453818582,False,False,False,0.01,hot,-0.0013308364705274752,cold,0.03669108581321079,1.7199430343003155,-0.2448151262856454
2026-07-14T00:08:07.973558+00:00,62293.0,-8,強弱気,-0.02468772408869302,-0.05282860505356746,62876.92196554557,65081.26164892841,73968.48577405415,False,False,False,0.008256,hot,-0.001000754498900302,cold,0.04538480491824903,1.7234723334467699,-0.24187233545381404
2026-07-14T08:07:22.736915+00:00,62565.2,-9,強弱気,-0.011083292237269782,-0.048689776393775586,62902.84577506938,65091.93615873233,73971.19423176559,False,False,False,0.008256,hot,-0.0016020087844360112,cold,0.05598774807747131,1.6386125398756846,-0.23855956595660777
2026-07-14T10:10:00.779525+00:00,62688.8,-7,強弱気,-0.011145919104540658,-0.046810425834075686,62914.61720364081,65096.78321755586,73972.42408251186,False,False,False,0.003489,hot,-0.000587186227843011,cold,0.032666565085220034,1.639741705475397,-0.23705531059343843
2026-07-14T16:12:25.052458+00:00,64871.3,-7,強弱気,0.010818517537435568,-0.013625291557823327,63122.47434649795,65182.37145284998,73994.14050042232,False,False,False,0.00559,hot,-0.0005065414135372743,cold,0.027164047582056927,1.4163310817677914,-0.21049351989669796
2026-07-14T20:08:22.414624+00:00,64492.3,-7,強弱気,0.017134052193880978,-0.019388025070171455,63086.37910840271,65167.50870775194,73990.36935614371,False,False,False,0.00559,hot,-0.0007252028536740676,cold,0.0033623314861035425,1.7437119660706875,-0.21510608286305055
2026-07-14T21:14:10.361576+00:00,64623.0,-7,強弱気,0.016757948264495726,-0.01740071828900025,63098.82672745033,65172.63419794802,73991.66985365615,False,False,False,0.00559,hot,-0.0009128328923138506,cold,0.00882627297813654,1.738163656836896,-0.2135154180089549
2026-07-14T22:14:55.414379+00:00,64529.4,-5,強弱気,0.01884719044709393,-0.01882391580022913,63089.91244173604,65168.96360971272,73990.73851037257,False,False,False,0.00559,hot,-0.0003626254079536065,neutral,0.004348808661185144,1.7420584371135892,-0.21465456284708317
2026-07-14T23:12:59.686066+00:00,65028.1,-7,強弱気,0.021906493530984283,-0.011241131624482592,63137.40767983128,65188.52047245782,73995.70069942728,False,False,False,0.00559,hot,-0.0007355281793563359,cold,0.024786493371489637,1.7785654232559822,-0.20858520888581655
2026-07-15T00:06:14.149824+00:00,64968.2,-7,強弱気,0.030485580415631652,-0.020374128837112426,63290.39367029209,65204.028271951494,73849.70358235759,False,False,False,0.01,hot,-0.0006458544333997114,cold,0.023424866970182645,1.7401023876354482,-0.2093142129008153
2026-07-15T18:04:50.715498+00:00,65034.1,-7,強弱気,0.044264853702948415,-0.019380452778523294,63296.66986076828,65206.61258567698,73850.35930375062,False,False,False,0.004457,hot,-0.001331147813224135,cold,0.007538026335281112,1.5312760514220025,-0.2085121867808083
